URL,Domain,Anchor
/files/assets/public/departments/alameda/police/feb-20.pdf,files,"Feb. 2020(PDF, 25KB)"
/files/assets/public/departments/alameda/police/new-folder/mar-20.pdf,files,"Mar. 2020(PDF, 25KB)"
/files/assets/public/departments/alameda/police/new-folder/apr-20.pdf,files,"Apr. 2020(PDF, 25KB)"
/files/assets/public/departments/alameda/police/new-folder/may-20.pdf,files,"May 2020(PDF, 38KB)"
/files/assets/public/departments/alameda/police/new-folder/june-20.pdf,files,"Jun. 2020(PDF, 25KB)"
/files/assets/public/departments/alameda/police/new-folder/july-20.pdf,files,"Jul. 2020(PDF, 25KB)"
/files/assets/public/departments/alameda/police/new-folder/aug-20.pdf,files,"Aug. 2020(PDF, 25KB)"
/files/assets/public/departments/alameda/police/new-folder/sept-2020.pdf,files,"Sept. 2020(PDF, 25KB)"
/files/assets/public/departments/alameda/police/new-folder/oct-20.pdf,files,"Oct. 2020(PDF, 25KB)"
/files/assets/public/departments/alameda/police/new-folder/nov-20.pdf,files,"Nov. 2020(PDF, 25KB)"
/files/assets/public/departments/alameda/police/new-folder/dec-20.pdf,files,"Dec. 2020(PDF, 25KB)"
/files/assets/public/departments/alameda/police/new-folder/jan-21.pdf,files,"Jan. 2021(PDF, 25KB)"
