"inc_code","category","subcategory"
"01000","homicide","homicide"
"01001","homicide","homicide"
"01002","homicide","homicide"
"01003","homicide","homicide"
"01004","homicide","homicide"
"01005","homicide","homicide"
"01007","homicide","homicide"
"01041","homicide","manslaughter"
"01042","homicide","manslaughter"
"01043","homicide","manslaughter"
"01044","homicide","manslaughter"
"01051","homicide","homicide - justifiable"
"01052","homicide","homicide - justifiable"
"01053","homicide","homicide - justifiable"
"01054","homicide","homicide - justifiable"
"01061","homicide","homicide - excusable"
"01062","homicide","homicide - excusable"
"01063","homicide","homicide - excusable"
"01064","homicide","homicide - excusable"
TRUNCATED
