"incident_number","division","nature_of_call","priority","date","time","unit_number","block","location","beat","status"
"21-0829351","Southeast","19 - Shooting","1","2021-05-10T00:00:00.000","00:59:14","F340","2900","Holmes St","341","At Scene"
"21-0829351","Southeast","19 - Shooting","1","2021-05-10T00:00:00.000","00:59:14","B316","2900","Holmes St","341","At Scene"
"21-0830511","Central","6X - Major Dist (Violence)","2","2021-05-10T00:00:00.000","06:37:05","L130","200","S Lamar St","133","At Scene"
"21-0830583","South Central","12B - Business Alarm","3","2021-05-10T00:00:00.000","06:44:06","E733","4700","Vista Wood Blvd","743","At Scene"
"21-0830583","South Central","12B - Business Alarm","3","2021-05-10T00:00:00.000","06:44:06","E721","4700","Vista Wood Blvd","743","At Scene"
"21-0829880","Southeast","40/01 - Other","2","2021-05-10T00:00:00.000","06:47:51","E341","4800","Spring Ave","312","At Scene"
"21-0829880","Southeast","40/01 - Other","2","2021-05-10T00:00:00.000","06:47:51","E314","4800","Spring Ave","312","At Scene"
"21-0829880","Southeast","40/01 - Other","2","2021-05-10T00:00:00.000","06:47:51","E356","4800","Spring Ave","312","At Scene"
"21-0829880","Southeast","40/01 - Other","2","2021-05-10T00:00:00.000","06:47:51","E350","4800","Spring Ave","312","At Scene"
"21-0830807","Northeast","37 - Street Blockage","4","2021-05-10T00:00:00.000","07:47:22","A244","8700","Park Ln","216","At Scene"
"21-0830807","Northeast","37 - Street Blockage","4","2021-05-10T00:00:00.000","07:47:22","E216","8700","Park Ln","216","At Scene"
"21-0830758","Southeast","11B - Burg of Bus","3","2021-05-10T00:00:00.000","07:48:40","E311","15300","Seagoville Rd","357","At Scene"
"21-0830694","Northwest","7X - Major Accident","2","2021-05-10T00:00:00.000","07:54:34","B556",,"Irving Blvd / Oak Lawn Ave","516","At Scene"
"21-0829031","Southeast","09V - UUMV","4","2021-05-10T00:00:00.000","08:02:05","B309","7800","Lake June Rd","332","At Scene"
"21-0828964","Northwest","07 - Minor Accident","3","2021-05-10T00:00:00.000","08:05:54","B542","3600","Linda Dr","526","At Scene"
"21-0830637","South Central","07 - Minor Accident","3","2021-05-10T00:00:00.000","08:07:20","B747","3200","Simpson Stuart Rd","757","At Scene"
"21-0830849","Northwest","7X - Major Accident","2","2021-05-10T00:00:00.000","08:09:25","B555",,"Irving Blvd / Manufacturing St","516","At Scene"
"21-0830808","Southeast","21R - Res Panic  Alarm","2","2021-05-10T00:00:00.000","08:09:29","E342","6400","Symphony Ln","318","At Scene"
"21-0830645","South Central","07 - Minor Accident","3","2021-05-10T00:00:00.000","08:19:52","E741","5900","Highland Village Dr","737","At Scene"
"21-0830826","Northeast","7X - Major Accident","2","2021-05-10T00:00:00.000","08:24:03","E251",,"N Central Serv Nb / Walnut Hill Ln","211","At Scene"
"21-0830826","Northeast","7X - Major Accident","2","2021-05-10T00:00:00.000","08:24:03","E234",,"N Central Serv Nb / Walnut Hill Ln","211","At Scene"
"21-0830691","Central","40/01 - Other","2","2021-05-10T00:00:00.000","08:27:09","B133","3500","N Hall St","124","At Scene"
"21-0830888","Northeast","40/01 - Other","2","2021-05-10T00:00:00.000","08:27:56","WR291","2100","Winsted Dr","234","At Scene"
"21-0830929","Northeast","46A - CIT w/Ambulance","1","2021-05-10T00:00:00.000","08:35:23","A240","9500","Forest Ln","253","At Scene"
"21-0830929","Northeast","46A - CIT w/Ambulance","1","2021-05-10T00:00:00.000","08:35:23","RC122","9500","Forest Ln","253","At Scene"
"21-0830929","Northeast","46A - CIT w/Ambulance","1","2021-05-10T00:00:00.000","08:35:23","E228","9500","Forest Ln","253","At Scene"
"21-0830929","Northeast","46A - CIT w/Ambulance","1","2021-05-10T00:00:00.000","08:35:23","E212","9500","Forest Ln","253","At Scene"
"21-0831010","Northeast","31 - Criminal Mischief","4","2021-05-10T00:00:00.000","08:42:04","D172","2100","WINSTED DR","234","At Scene"
"21-0830573","Southeast","37 - Street Blockage","4","2021-05-10T00:00:00.000","08:43:01","A312","9600","Glengreen Dr","328","At Scene"
"21-0830889","Northwest","11B - Burg of Bus","3","2021-05-10T00:00:00.000","08:47:24","B535","3300","W Northwest Hwy","538","At Scene"
"21-0830978","Northeast","40/01 - Other","2","2021-05-10T00:00:00.000","08:47:32","E221",,"Garland Rd / Easton Rd","235","At Scene"
"21-0830895","Northwest","11B - Burg of Bus","3","2021-05-10T00:00:00.000","08:48:59","B546","3500","Webb Chapel Ext","537","At Scene"
"21-0830868","Central","31 - Criminal Mischief","4","2021-05-10T00:00:00.000","08:52:44","L213","300","S Houston St","133","At Scene"
"21-0830856","Northwest","09V - UUMV","4","2021-05-10T00:00:00.000","08:52:53","B512","2800","Irving Blvd","516","At Scene"
"21-0831053","Southwest","37 - Street Blockage","4","2021-05-10T00:00:00.000","08:53:28","B456","1300","SYLVAN AVE","412","At Scene"
"21-0831032","Northwest","6X - Major Dist (Violence)","2","2021-05-10T00:00:00.000","08:56:38","B544","2200","Empire Central","513","At Scene"
"21-0830972","Northeast","40 - Other","3","2021-05-10T00:00:00.000","08:57:19","A233","8400","Park Ln","216","At Scene"
"21-0830874","Central","11R - Burg of Res","3","2021-05-10T00:00:00.000","08:57:38","B126","3700","Cole Ave","124","At Scene"
"21-0830963","North Central","04 - 911 Hang Up","2","2021-05-10T00:00:00.000","08:59:17","B643","7700","W Northwest Hwy","654","At Scene"
"21-0831013","Northwest","6XE - Disturbance Emergency","1","2021-05-10T00:00:00.000","09:00:24","B543",,"Wycliff Ave / Douglas Ave","544","At Scene"
"21-0830994","Southeast","6G - Random Gun Fire","3","2021-05-10T00:00:00.000","09:05:15","E343","7300","Claymont Dr","315","At Scene"
"21-0827228","Southeast","40 - Other","3","2021-05-10T00:00:00.000","09:05:33","B337","2000","Echo Lake Dr","356","At Scene"
"21-0830809","Northeast","6X - Major Dist (Violence)","2","2021-05-10T00:00:00.000","09:05:34","B238","8700","Park Ln","213","At Scene"
"21-0830291","Southeast","12B - Business Alarm","3","2021-05-10T00:00:00.000","09:05:49","B353","8500","Lake June Rd","333","At Scene"
"21-0827774","Southeast","12B - Business Alarm","3","2021-05-10T00:00:00.000","09:06:15","B345","5400","Parkdale Dr","316","At Scene"
"21-0824522","Southeast","09V - UUMV","4","2021-05-10T00:00:00.000","09:07:45","B333","6100","TRAIL GLEN DR","352","At Scene"
"21-0831083","Southwest","6X - Major Dist (Violence)","2","2021-05-10T00:00:00.000","09:08:11","B462","3800","Gannon Ln","451","At Scene"
"21-0831095","Northeast","32 - Suspicious Person","2","2021-05-10T00:00:00.000","09:08:51","B220",,"Ferndale Rd / Lanshire Dr","248","At Scene"
"21-0831093","Southwest","7X - Major Accident","2","2021-05-10T00:00:00.000","09:09:00","B436",,"Mountain Creek Pkwy / Clark Rd","436","At Scene"
"21-0831027","Northeast","46 - CIT","2","2021-05-10T00:00:00.000","09:09:10","E256","9300","Forest Ln","252","At Scene"
"21-0826226","Southeast","24 - Abandoned Property","4","2021-05-10T00:00:00.000","09:09:37","B343","7600","Great Trinity Forest Way","351","At Scene"
